tid,governo_alinhamento~Lula_2/indefinido,governo_alinhamento~Lula_2/nao se aplica,governo_alinhamento~Lula_2/votou com o governo,governo_alinhamento~Lula_2/votou contra o governo,orientacaoGoverno~Liberado,orientacaoGoverno~Não,orientacaoGoverno~Obstrução,orientacaoGoverno~Sim,partido~Avante,partido~Cidadania,partido~DEM,partido~MDB,partido~PAN,partido~PCdoB,partido~PDT,partido~PHS,partido~PL,partido~PMN,partido~PP,partido~PRB,partido~PRTB,partido~PSB,partido~PSC,partido~PSDB,partido~PSOL,partido~PT,partido~PTB,partido~PTC,partido~PV,partido~Sem_Partido,tipoProposicao~MPV,tipoProposicao~MSC,tipoProposicao~PDC,tipoProposicao~PEC,tipoProposicao~PL,tipoProposicao~PLP,tipoProposicao~PLV,tipoProposicao~PRC,tipoProposicao~REC,tipoProposicao~REQ
1410,0,13,41,0,13,20,0,21,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,19,6,5,0,1,1,0
1411,0,15,49,4,15,24,0,29,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,20,8,8,0,1,1,0
1412,0,14,36,2,14,19,0,19,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,14,6,6,0,1,1,0
1413,0,15,50,2,15,25,0,27,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,20,6,8,0,1,1,0
1414,0,17,17,14,13,11,0,24,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,17,4,5,0,1,1,0
1415,2,1,1,1,1,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1417,0,2,7,0,2,2,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,2,0,0,0,0
1418,0,15,51,3,15,26,0,28,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,29,0,2,20,8,8,0,1,1,0
1419,0,14,43,2,14,22,0,23,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,13,8,7,0,1,1,0
1420,0,9,21,0,9,9,0,12,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,9,0,0,15,1,4,0,1,0,0
1421,0,11,26,3,10,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,15,0,0,15,6,2,0,1,1,0
1422,0,19,7,10,10,10,0,16,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,15,2,3,0,1,1,0
1423,0,13,3,6,5,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,6,0,2,7,4,3,0,0,0,0
1424,0,12,43,1,12,22,0,22,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16,5,8,0,1,1,0
1425,0,12,51,0,12,22,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,25,0,2,18,8,8,0,1,1,0
1426,0,9,48,2,9,22,0,28,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,17,8,6,0,1,1,0
1427,0,9,19,1,8,12,0,9,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,3,2,0,1,1,0
1428,0,9,33,0,9,14,0,19,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,11,3,6,0,1,1,0
1429,0,15,43,2,14,21,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,23,0,2,21,8,5,0,0,1,0
1430,0,15,57,0,15,27,0,30,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,31,0,2,21,8,8,0,1,1,0
1431,0,8,39,1,8,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,16,0,2,13,7,8,0,1,1,0
1432,0,4,9,1,3,3,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,1,2,0,0,1,0
1433,0,14,49,2,14,23,0,28,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,19,6,7,0,1,1,0
1434,0,5,14,1,5,5,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,4,2,0,1,1,0
1435,0,10,46,3,10,24,0,25,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,25,0,0,19,7,6,0,1,1,0
1436,0,14,6,1,3,10,0,8,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,2,4,0,0,0,0
1437,0,13,46,1,13,24,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,29,0,2,16,6,6,0,0,1,0
1438,0,20,8,15,10,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,20,0,1,12,5,4,0,0,1,0
1439,0,14,47,0,14,23,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,25,0,2,18,7,7,0,1,1,0
1440,0,6,30,1,6,11,0,20,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,9,1,8,0,1,0,0
1441,1,9,45,1,9,22,0,25,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,19,7,6,0,1,0,0
1442,0,15,4,5,8,7,0,9,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,1,4,0,1,0,0
1443,0,2,5,0,2,1,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0
1444,0,13,44,0,13,18,0,26,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,18,6,7,0,1,1,0
1445,0,6,27,1,6,14,0,14,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,9,3,4,0,0,0,0
1446,0,12,38,1,12,18,0,21,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,16,5,8,0,1,0,0
1447,0,20,13,10,7,13,0,23,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,14,3,8,0,1,1,0
1448,1,15,9,14,9,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,17,0,0,11,3,6,0,1,1,0
1449,1,6,22,0,6,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,11,0,0,9,3,4,0,1,1,0
1450,0,7,25,0,7,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,15,0,2,8,3,3,0,1,0,0
1451,1,16,53,0,16,25,0,29,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,20,8,8,0,1,1,0
1452,0,18,12,15,7,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,14,0,2,15,6,6,0,1,1,0
1453,0,13,10,11,9,7,0,18,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,10,2,8,0,0,1,0
1454,0,7,20,0,7,8,0,12,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,14,4,2,0,1,1,0
1455,0,5,35,1,5,20,0,16,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,11,5,6,0,0,0,0
1456,1,18,15,6,9,8,0,23,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,12,4,7,0,1,1,0
1457,0,4,13,3,4,12,0,4,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0
1458,0,9,37,3,9,18,0,22,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,15,6,4,0,0,1,0
1459,0,8,34,3,8,18,0,19,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,15,6,4,0,0,1,0
1460,0,12,37,1,11,19,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,19,0,2,17,7,4,0,0,1,0
1461,0,25,7,9,9,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,14,0,0,11,7,7,0,1,1,0
1462,0,14,49,1,13,26,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,31,0,2,16,7,7,0,1,0,0
1463,0,15,44,0,14,23,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,26,0,2,17,6,6,0,1,1,0
1464,2,18,40,1,17,21,0,23,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,20,7,4,0,1,1,0
1465,0,11,44,0,11,23,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,25,0,0,16,5,7,0,1,1,0
